x,y,pro,aspect,distance,depression,converge,baselevel,fallrain,hillshade,LS,ndvi,plan,profile,slope,temp,wetness,valley,boxcox,id
543495.2239,4381849.295,7.36,3.172832489,194.133667,0,14.38974094,1243.866333,526.0480957,0.899895608,10.37847805,0.03888109,0.000429292,0.0000809,0.158731416,20.49179641,8.092302322,102.9481201,4.610186412,1
542640.4029,4387347.258,9.69,6.241542816,188.1628418,0,6.983403683,1148.837158,519.9696655,0.628191233,12.12501526,0.137086466,0.000285521,0.000359364,0.235741869,21.73950617,6.80634594,179.1171875,5.967756728,2
542615.0148,4387282.745,5.58,0.216550305,210.3395996,0,44.13294983,1149.6604,519.9696655,0.676969945,11.11564541,0.173380464,0.000599348,0.0000966,0.250597537,20.57458824,6.330785275,155.6278076,3.498244302,3
542649.2605,4387297.363,7.23,0.286051452,205.9154053,0,-2.775040865,1151.084595,519.9696655,0.714624166,6.540834427,0.166356251,0.0000379,0.000355953,0.175379932,21.73950617,6.515368938,159.3881836,4.531480121,4
548574.6291,4383938.404,9.01,5.092895508,155.0791016,0,57.90550232,1320.920898,529.7329712,0.760713518,0.48260361,0.011611255,0.000256231,0.000225385,0.02691932,21.73467532,7.957577229,91.89550781,5.581047348,5
548540.7771,4383860.5,7.81,5.092895508,155.0791016,0,57.90550232,1320.920898,529.7329712,0.760713518,0.48260361,0.011611255,0.000256231,0.000225385,0.02691932,21.73467532,7.957577229,91.89550781,4.879973784,6
548427.8243,4384073.997,6.68,5.086722374,142.2213135,0,0.516339302,1316.778687,529.7329712,0.650706112,5.422059059,0.014632738,0.0000237,0.000325307,0.14929685,22.49874172,6.728985786,107.0113525,4.194427922,7
534731.4874,4371336.877,11.26,5.450203896,51.02886963,0,2.92401576,972.9711304,525.8206787,0.638015926,8.405291557,0.158765808,0.000150467,0.000210745,0.147579849,19.93766667,7.874006271,511.3303223,6.835544988,8
534800.1403,4371368.261,6.45,5.312438965,66.38922119,0,1.940372825,972.6107788,525.8206787,0.673018813,3.563766479,0.147393107,0.0000755,-0.0000397,0.11460425,19.93766667,6.801873684,496.2930908,4.051419236,9
551676.2093,4357819.017,7.59,3.660738707,209.625,0,51.67350769,1335.375,542.3485718,0.838643372,8.63897419,0.106460787,0.000386254,0.0000648,0.159869105,19.241125,7.603397846,104.0280762,4.748582663,10
551529.6797,4357831.363,9.24,1.570796371,239.2646484,0,41.8287735,1331.735352,542.3485718,0.806823671,0.616792023,0.063113034,0.000395327,0.000651585,0.029991005,18.94817073,8.111727715,77.14025879,5.712645072,11
532313.9867,4365413.277,7.21,2.647651196,78.70172119,0,2.323610783,996.2982788,512.1384277,0.856185555,1.982034564,0.115924478,0.0000346,0.0000879,0.073690437,21.67429379,7.210392475,476.3188477,4.51933987,12
532428.517,4356520.842,4.3,2.976444006,47.39685059,0,-5.766418457,1108.603149,530.5513306,0.860710502,2.666516781,0.097005978,-0.00000951,-0.000484347,0.0909895,22.0597561,7.056404591,429.0769043,2.642364376,13
517414.5617,4362925.1,8.15,3.407844782,81.24163818,0,7.021251202,864.7583618,540.8278809,0.814828813,1.622235775,0.207980663,0.000310738,0.000387211,0.056947131,21.7345509,7.804577827,581.2794189,5.081212138,14
517242.3663,4362938.033,6.08,3.082836866,81.23254395,0,6.371784687,864.7674561,540.8278809,0.850350738,2.475535631,0.192159504,0.000322531,0.000267264,0.08494205,21.7345509,7.162686348,581.1181641,3.818621389,15
517225.1497,4362937.995,13.13,2.961739063,82.25042725,0,9.002244949,864.7495728,542.5480957,0.831788123,1.332818747,0.224655762,0.000290991,0.000176349,0.055843577,21.46880952,7.396446228,579.9576416,7.83023572,16
516995.3794,4361724.482,13.07,5.902510643,58.79046631,0,-0.442935318,887.2095337,542.5480957,0.760710061,0.500816405,0.13880761,-0.0000025,0.00000454,0.026921133,23.33567901,8.049901009,585.3789063,7.798901989,17
517351.779,4340823.731,5.63,4.655308247,40.42962646,0,3.152477264,860.5703735,543.8370361,0.679719567,8.317602158,0.09964598,0.000113092,-0.000137945,0.173522651,20.23623188,7.161257267,711.4742432,3.530598913,18
514971.2169,4330691.249,9.01,4.506064892,80.98248291,0,10.77933311,894.0175171,566.3739624,0.686195612,8.593295097,0.13672854,0.000301713,0.0000534,0.216224864,20.20434783,6.311121464,673.5222168,5.581047348,19
515998.8382,4331184.891,8.56,3.729595184,52.79089355,0,2.977874994,931.2091064,566.3739624,0.81731689,7.905064106,0.186373144,0.000092,0.0000243,0.125530735,20.20434783,8.407100677,664.4593506,5.321085951,20
502364.2763,4315704.958,4.76,5.055412769,167.4813232,0,3.12486887,832.5186768,578.2314453,0.654441953,5.275375843,0.165581986,0.0000567,0.000335172,0.147579849,21.57885057,6.709477425,683.5563965,2.956513249,21
501671.1849,4316946.546,12,4.092139721,111.4207153,0,5.69834137,815.5792847,578.0561523,0.771911442,5.38008213,0.151372477,0.000258076,0.000278667,0.170378506,19.73588889,6.14957428,750.0419922,7.233807164,22
500285.9256,4312005.96,8.79,3.290482521,29.20251465,0,-7.308130264,815.7974854,578.2314453,0.915035903,52.9718132,0.10846708,-0.000206193,0.0000817,0.199546054,21.26428571,11.19782162,848.9243164,5.454375186,23
501395.2267,4310555.698,6.98,5.892578125,88.46856689,0,-10.44600391,830.5314331,584.2560425,0.620696902,6.304675102,0.152795419,-0.0000936,-0.000202366,0.181817427,21.83141176,6.270700455,783.291626,4.379107962,24
509193.7312,4311334.388,8.94,4.068887711,38.60601807,0,-3.501263142,905.3939819,596.5986938,0.775433481,4.757186413,0.136791185,-0.0000636,0.000216692,0.148889944,23.61880503,6.41351223,774.302124,5.54082818,25
509185.0299,4311365.449,6.98,4.555781364,41.15447998,0,-1.186187506,906.84552,596.5986938,0.687342525,7.306187153,0.137148902,-0.0000108,0.0000516,0.190026104,23.61880503,6.452225208,769.869873,4.379107962,26
512508.1451,4308607.963,5.09,0.463647604,75.19140625,0,8.991082191,977.8085938,581.4161987,0.741695642,10.20532417,0.153896034,0.000231912,0.000315048,0.198593467,22.80756098,7.100955486,685.600708,3.177155945,27
512403.3191,4309122.699,8.04,4.670746326,113.8148193,0,75.01793671,964.1851807,581.4161987,0.708788514,4.403169155,0.134440109,0.000230436,0.000283846,0.119531572,22.80756098,7.151972294,658.1187744,5.016341823,28
